Domínio,Reino,Filo,Classe,Ordem,Família,Gênero,Espécie
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana attenuata
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Nicotiana,Nicotiana attenuata
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Nicotiana attenuata
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea triloba
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Convolvulaceae,Ipomoea,Ipomoea triloba
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Ipomoea,Ipomoea triloba
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,Ipomoea triloba
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,Olea europaea
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Olea,Olea europaea
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Olea europaea
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia splendens
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia hispanica
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Salvia,Salvia hispanica
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,Salvia hispanica
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Pedaliaceae,Sesamum,Sesamum indicum
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Sesamum,Sesamum indicum
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Sesamum indicum
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea eugenioides
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Rubiaceae,Coffea,Coffea eugenioides
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Coffea,Coffea eugenioides
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Coffea eugenioides
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus annuus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Helianthus annuus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron canadensis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Erigeron canadensis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca sativa
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Lactuca sativa
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Cynara cardunculus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Asteraceae,Cynara,Cynara cardunculus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Cynara,Cynara cardunculus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Cynara cardunculus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Apiaceae,Daucus,Daucus carota
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Daucus,Daucus carota
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Daucus carota
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros lotus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Diospyros,Diospyros lotus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Diospyros lotus
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens glandulifera
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Balsaminaceae,Impatiens,Impatiens glandulifera
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Impatiens,Impatiens glandulifera
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Impatiens glandulifera
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Beta vulgaris
